Epoch,Phase,Iteration,Accuracy,Loss
1,Training,300,0.0,0.014726485004536454
1,Val,300,0.0,0.012812676052433246
2,Training,600,0.0,0.011600253201893826
2,Val,600,0.0,0.011507111868262965
3,Training,900,0.0,0.01094232594351167
3,Val,900,0.0,0.011136139712637685
3,Training,1200,0.0,0.008271342726854284
3,Val,1200,0.0,0.010819987746346776
4,Training,1500,0.0,0.010244870474129187
4,Val,1500,0.0,0.011361229937783237
5,Training,1800,0.0,0.010220692810071007
5,Val,1800,0.0,0.010400661549127142
6,Training,2100,0.0,0.009416517698219246
6,Val,2100,0.0,0.01023018714886123
6,Training,2400,0.0,0.008838923964684482
6,Val,2400,0.0,0.01013312307001769
7,Training,2700,0.0,0.009432763055648627
7,Val,2700,0.0,0.010047226128374113
8,Training,3000,0.0,0.009688948424498973
8,Val,3000,0.0,0.009903731305818642
8,Training,3300,0.0,0.006898582802452199
8,Val,3300,0.0,0.00996573940452617
9,Training,3600,0.0,0.009435796681126398
9,Val,3600,0.0,0.00993365540281308
10,Training,3900,0.0,0.00926882445323041
10,Val,3900,0.0,0.009853669754221266
11,Training,4200,0.0,0.009446803756757853
11,Val,4200,0.0,0.009681690395712197
11,Training,4500,0.0,0.007356684492952738
11,Val,4500,0.0,0.009601754745179936
12,Training,4800,0.0,0.009215781369554182
12,Val,4800,0.0,0.009597534963009864
13,Training,5100,0.0,0.009313151936365765
13,Val,5100,0.0,0.009762479564820133
14,Training,5400,0.0,0.009460879605400785
14,Val,5400,0.0,0.009548812995619558
14,Training,5700,0.0,0.007985679069914445
14,Val,5700,0.0,0.00935105896310947
15,Training,6000,0.0,0.008793658540890432
15,Val,6000,0.0,0.009305029142139126
16,Training,6300,0.0,0.009824240337329239
16,Val,6300,0.0,0.009503258609213246
16,Training,6600,0.0,0.006306238057373569
16,Val,6600,0.0,0.009504422521764914
17,Training,6900,0.0,0.008790243666485814
17,Val,6900,0.0,0.009257864071349728
18,Training,7200,0.0,0.008681751454846842
18,Val,7200,0.0,0.009291541578416574
19,Training,7500,0.0,0.009403577517548757
19,Val,7500,0.0,0.009360900608929452
19,Training,7800,0.0,0.007098661595784164
19,Val,7800,0.0,0.009109849495626796
20,Training,8100,0.0,0.008771517455953238
20,Val,8100,0.0,0.009032837036896493
21,Training,8400,0.0,0.008916416297089336
21,Val,8400,0.0,0.009228174796989652
22,Training,8700,0.0,0.010153478057587253
22,Val,8700,0.0,0.00905390311732974
22,Training,9000,0.0,0.007739743013083678
22,Val,9000,0.0,0.008973806212848157
23,Training,9300,0.0,0.00842699709119176
23,Val,9300,0.0,0.008908142310940073
24,Training,9600,0.0,0.008513675439254721
24,Val,9600,0.0,0.009318366132106017
24,Training,9900,0.0,0.006397840267020959
