2025-05-13 20:53:03,018 INFO    MainThread:1024237 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-05-13 20:53:03,019 INFO    MainThread:1024237 [wandb_setup.py:_flush():68] Configure stats pid to 1024237
2025-05-13 20:53:03,019 INFO    MainThread:1024237 [wandb_setup.py:_flush():68] Loading settings from /home/lnavarro/.config/wandb/settings
2025-05-13 20:53:03,019 INFO    MainThread:1024237 [wandb_setup.py:_flush():68] Loading settings from /home/lnavarro/tec/iap2/wandb/settings
2025-05-13 20:53:03,019 INFO    MainThread:1024237 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-13 20:53:03,019 INFO    MainThread:1024237 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/lnavarro/tec/iap2/wandb/run-20250513_205302-avskuxzj/logs/debug.log
2025-05-13 20:53:03,019 INFO    MainThread:1024237 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/lnavarro/tec/iap2/wandb/run-20250513_205302-avskuxzj/logs/debug-internal.log
2025-05-13 20:53:03,019 INFO    MainThread:1024237 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f7ad4f83c50>
2025-05-13 20:53:03,020 INFO    MainThread:1024237 [wandb_init.py:init():852] calling init triggers
2025-05-13 20:53:03,020 INFO    MainThread:1024237 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 4, 'batch_size': 32, 'learning_rate': 0.0001, 'architecture': 'ResNet18Audio', 'input_size': '1x224x224', 'num_classes': 10, 'bilateral_filter': False, 'augmentation': False, '_wandb': {}}
2025-05-13 20:53:03,020 INFO    MainThread:1024237 [wandb_init.py:init():893] starting backend
2025-05-13 20:53:03,020 INFO    MainThread:1024237 [wandb_init.py:init():897] sending inform_init request
2025-05-13 20:53:03,026 INFO    MainThread:1024237 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-13 20:53:03,027 INFO    MainThread:1024237 [wandb_init.py:init():907] backend started and connected
2025-05-13 20:53:03,030 INFO    MainThread:1024237 [wandb_run.py:_label_probe_notebook():1369] probe notebook
2025-05-13 20:53:03,030 INFO    MainThread:1024237 [wandb_run.py:_label_probe_notebook():1379] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-05-13 20:53:03,030 INFO    MainThread:1024237 [wandb_init.py:init():1002] updated telemetry
2025-05-13 20:53:03,105 INFO    MainThread:1024237 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-05-13 20:53:03,970 INFO    MainThread:1024237 [wandb_init.py:init():1101] starting run threads in backend
2025-05-13 20:53:04,172 INFO    MainThread:1024237 [wandb_run.py:_console_start():2566] atexit reg
2025-05-13 20:53:04,173 INFO    MainThread:1024237 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-05-13 20:53:04,173 INFO    MainThread:1024237 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-05-13 20:53:04,173 INFO    MainThread:1024237 [wandb_run.py:_redirect():2506] Redirects installed.
2025-05-13 20:53:04,177 INFO    MainThread:1024237 [wandb_init.py:init():1147] run started, returning control to user process
2025-05-13 21:02:36,125 INFO    MainThread:1024237 [wandb_init.py:_post_run_cell_hook():613] [no run ID] resuming backend
2025-05-13 21:12:22,379 INFO    MsgRouterThr:1024237 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
