2025-05-13 16:45:46,621 INFO    MainThread:1115098 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-05-13 16:45:46,622 INFO    MainThread:1115098 [wandb_setup.py:_flush():68] Configure stats pid to 1115098
2025-05-13 16:45:46,622 INFO    MainThread:1115098 [wandb_setup.py:_flush():68] Loading settings from /home/lnavarro/.config/wandb/settings
2025-05-13 16:45:46,622 INFO    MainThread:1115098 [wandb_setup.py:_flush():68] Loading settings from /home/lnavarro/tec/iap2/wandb/settings
2025-05-13 16:45:46,622 INFO    MainThread:1115098 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-13 16:45:46,622 INFO    MainThread:1115098 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/lnavarro/tec/iap2/wandb/run-20250513_164546-t71o9xr5/logs/debug.log
2025-05-13 16:45:46,622 INFO    MainThread:1115098 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/lnavarro/tec/iap2/wandb/run-20250513_164546-t71o9xr5/logs/debug-internal.log
2025-05-13 16:45:46,622 INFO    MainThread:1115098 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fdf23f4b350>
2025-05-13 16:45:46,623 INFO    MainThread:1115098 [wandb_init.py:init():852] calling init triggers
2025-05-13 16:45:46,623 INFO    MainThread:1115098 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 15, 'batch_size': 32, 'learning_rate': 4e-05, 'architecture': 'LeNet5Audio', 'input_size': '1x224x224', 'num_classes': 10, 'bilateral_filter': False, 'augmentation': False, '_wandb': {}}
2025-05-13 16:45:46,623 INFO    MainThread:1115098 [wandb_init.py:init():893] starting backend
2025-05-13 16:45:46,623 INFO    MainThread:1115098 [wandb_init.py:init():897] sending inform_init request
2025-05-13 16:45:46,629 INFO    MainThread:1115098 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-13 16:45:46,629 INFO    MainThread:1115098 [wandb_init.py:init():907] backend started and connected
2025-05-13 16:45:46,632 INFO    MainThread:1115098 [wandb_run.py:_label_probe_notebook():1369] probe notebook
2025-05-13 16:45:46,632 INFO    MainThread:1115098 [wandb_run.py:_label_probe_notebook():1379] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-05-13 16:45:46,633 INFO    MainThread:1115098 [wandb_init.py:init():1002] updated telemetry
2025-05-13 16:45:46,747 INFO    MainThread:1115098 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-05-13 16:45:47,532 INFO    MainThread:1115098 [wandb_init.py:init():1101] starting run threads in backend
2025-05-13 16:45:47,741 INFO    MainThread:1115098 [wandb_run.py:_console_start():2566] atexit reg
2025-05-13 16:45:47,741 INFO    MainThread:1115098 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-05-13 16:45:47,741 INFO    MainThread:1115098 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-05-13 16:45:47,741 INFO    MainThread:1115098 [wandb_run.py:_redirect():2506] Redirects installed.
2025-05-13 16:45:47,744 INFO    MainThread:1115098 [wandb_init.py:init():1147] run started, returning control to user process
2025-05-13 18:28:16,446 INFO    MainThread:1115098 [wandb_init.py:_post_run_cell_hook():613] [no run ID] resuming backend
2025-05-13 18:28:16,449 INFO    MainThread:1115098 [jupyter.py:save_ipynb():401] [no run ID] not saving jupyter notebook
2025-05-13 18:28:16,449 INFO    MainThread:1115098 [wandb_init.py:_pre_run_cell_hook():602] [no run ID] pausing backend
2025-05-13 18:28:16,709 INFO    MainThread:1115098 [wandb_run.py:_finish():2314] finishing run luiscantodd-tec-costa-rica/Audio-mnist/t71o9xr5
2025-05-13 18:28:16,712 INFO    MainThread:1115098 [jupyter.py:save_ipynb():401] not saving jupyter notebook
2025-05-13 18:28:16,712 INFO    MainThread:1115098 [wandb_init.py:_jupyter_teardown():628] cleaning up jupyter logic
2025-05-13 18:28:16,712 INFO    MainThread:1115098 [wandb_run.py:_atexit_cleanup():2531] got exitcode: 0
2025-05-13 18:28:16,713 INFO    MainThread:1115098 [wandb_run.py:_restore():2513] restore
2025-05-13 18:28:16,713 INFO    MainThread:1115098 [wandb_run.py:_restore():2519] restore done
2025-05-13 18:28:17,906 INFO    MainThread:1115098 [wandb_run.py:_footer_history_summary_info():4160] rendering history
2025-05-13 18:28:17,906 INFO    MainThread:1115098 [wandb_run.py:_footer_history_summary_info():4192] rendering summary
2025-05-13 18:28:17,909 INFO    MainThread:1115098 [wandb_run.py:_footer_sync_info():4121] logging synced files
